date,id_station,id_parameter,unit,count,mean,std,min,Q1,Q2,Q3,max
2010-02-28,LAG,NOX,1,609.0,73.58292282430213,55.63263641250704,8.0,39.0,56.0,88.0,398.0
2010-02-28,LAG,O3,1,496.0,15.262096774193548,20.15054088149692,0.0,1.0,5.5,24.25,118.0
2010-02-28,LAG,SO2,1,607.0,4.831960461285008,7.5104833187753215,0.0,1.0,2.0,5.0,82.0
2010-02-28,LLA,SO2,1,0.0,,,,,,,
2010-02-28,LPR,SO2,1,635.0,5.140157480314961,7.510720622242714,0.0,2.0,3.0,5.0,70.0
2010-02-28,LVI,PM10,2,589.0,40.00679117147708,29.174177055450578,1.0,17.0,34.0,57.0,165.0
2010-02-28,LVI,SO2,1,637.0,4.232339089481947,8.917653840736504,0.0,0.0,1.0,4.0,88.0
2010-02-28,MER,CO,15,628.0,1.442038216560508,0.8020211620092645,0.4,1.0,1.2,1.6,6.3
2010-02-28,MER,NO,1,613.0,47.96247960848287,57.85188063656945,0.0,13.0,29.0,56.0,377.0
2010-02-28,MER,NO2,1,613.0,37.65742251223491,16.77075627080428,6.0,28.0,35.0,45.0,154.0
2010-02-28,MER,NOX,1,613.0,85.48450244698205,66.55482165536317,3.0,45.0,67.0,100.0,447.0
2010-02-28,MER,O3,1,635.0,17.588976377952754,22.932341949965892,0.0,2.0,7.0,27.0,136.0
2010-02-28,MER,PM10,2,616.0,34.311688311688314,22.452702078834623,1.0,18.0,30.0,47.0,148.0
2010-02-28,MER,PM2.5,2,601.0,15.710482529118137,11.406841803647689,1.0,7.0,13.0,21.0,98.0
2010-02-28,MER,SO2,1,636.0,5.3742138364779874,9.51922523040992,0.0,0.0,3.0,5.0,80.0
2010-02-28,MON,O3,1,398.0,24.28643216080402,17.97166442628656,0.0,12.0,21.0,34.0,90.0
2010-02-28,PED,CO,15,625.0,0.6475199999999994,0.491365601000064,0.0,0.3,0.5,0.9,3.3
2010-02-28,PED,NO,1,625.0,15.2752,25.899047898547963,0.0,1.0,4.0,17.0,196.0
2010-02-28,PED,NO2,1,625.0,24.5712,13.219005936480922,4.0,14.0,24.0,32.0,88.0
2010-02-28,PED,NOX,1,625.0,39.7376,33.6974892163671,4.0,15.0,30.0,53.0,240.0
2010-02-28,PED,O3,1,625.0,22.0544,23.842974237976705,0.0,4.0,14.0,34.0,148.0
2010-02-28,PED,PM10,2,552.0,26.92572463768116,19.90622091339525,1.0,12.0,21.5,37.0,112.0
2010-02-28,PED,SO2,1,624.0,2.6955128205128207,4.624616150120022,0.0,1.0,1.0,2.0,33.0
2010-02-28,PER,PM2.5,2,489.0,16.114519427402865,10.31904840892356,1.0,8.0,14.0,22.0,68.0
2010-02-28,PLA,O3,1,640.0,18.5015625,23.40465285648453,0.0,2.0,8.0,27.25,146.0
2010-02-28,PLA,SO2,1,640.0,5.9203125,6.159453456423434,2.0,3.0,4.0,6.0,49.0
2010-02-28,SAG,CO,15,542.0,1.0284132841328422,0.7902156230509335,0.2,0.5,0.8,1.2,6.5
2010-02-28,SAG,NO,1,540.0,27.49074074074074,41.043959277125154,0.0,6.0,11.0,27.0,255.0
2010-02-28,SAG,NO2,1,540.0,25.185185185185187,11.09459089331135,5.0,16.0,24.0,31.0,60.0
2010-02-28,SAG,NOX,1,540.0,52.58888888888889,46.78400875910531,6.0,24.0,36.0,61.0,297.0
2010-02-28,SAG,O3,1,544.0,20.03860294117647,21.497534628371685,1.0,4.0,11.0,29.0,128.0
2010-02-28,SAG,PM10,2,514.0,43.356031128404666,31.72284479177806,1.0,20.0,35.0,61.75,210.0
2010-02-28,SAG,PM2.5,2,525.0,16.034285714285716,9.759061443690312,1.0,9.0,14.0,21.0,52.0
2010-02-28,SAG,SO2,1,542.0,5.869003690036901,11.282271377447328,1.0,2.0,3.0,5.0,113.0
2010-02-28,SJA,PM2.5,2,587.0,15.706984667802384,10.454484590810331,1.0,8.0,14.0,21.0,69.0
2010-02-28,SUR,CO,15,564.0,1.0358156028368792,0.8595472855504511,0.0,0.5,0.9,1.4,6.1
2010-02-28,SUR,NO,1,604.0,26.9453642384106,40.66819989402056,0.0,4.0,10.5,32.25,334.0
2010-02-28,SUR,NO2,1,604.0,29.160596026490065,16.27833272770123,0.0,16.0,29.0,39.0,99.0
2010-02-28,SUR,NOX,1,604.0,56.07947019867549,49.82457094348396,0.0,21.0,45.0,71.0,400.0
2010-02-28,SUR,O3,1,607.0,22.29324546952224,25.125618469521264,0.0,2.0,13.0,33.5,146.0
2010-02-28,SUR,PM10,2,516.0,30.68217054263566,20.572008315995383,1.0,15.0,27.0,43.0,100.0
2010-02-28,SUR,SO2,1,607.0,1.983525535420099,5.3045586060986105,0.0,0.0,0.0,1.0,37.0
2010-02-28,TAC,CO,15,634.0,0.8533123028391169,0.8375451643421111,0.0,0.3,0.6,1.1,5.2
2010-02-28,TAC,NO,1,634.0,28.186119873817034,45.19017280969528,0.0,4.0,10.5,30.0,324.0
2010-02-28,TAC,NO2,1,634.0,31.38801261829653,17.002395003484096,4.0,19.0,29.5,39.0,119.0
2010-02-28,TAC,NOX,1,634.0,59.48895899053628,54.335573414210685,4.0,25.0,42.0,71.0,377.0
2010-02-28,TAC,O3,1,631.0,23.46592709984152,24.90384739297234,1.0,5.0,14.0,32.0,152.0
2010-02-28,TAC,SO2,1,634.0,5.205047318611987,9.041535177755232,0.0,1.0,2.0,4.0,63.0
2010-02-28,TAH,O3,1,605.0,28.70909090909091,21.447873047883924,0.0,13.0,24.0,42.0,97.0
2010-02-28,TAH,PM10,2,521.0,31.07101727447217,21.42627665888692,1.0,14.0,27.0,43.0,127.0
2010-02-28,TAH,SO2,1,606.0,1.7574257425742574,3.2015857600217767,0.0,1.0,1.0,2.0,35.0
2010-02-28,TAX,CO,15,628.0,1.714012738853504,1.112934457502111,0.3,0.9,1.5,2.2,8.9
2010-02-28,TAX,NO,1,623.0,45.446227929374,66.20716717202716,0.0,7.0,22.0,57.0,585.0
2010-02-28,TAX,NO2,1,623.0,30.17174959871589,16.894824203764454,2.0,17.5,28.0,39.0,101.0
2010-02-28,TAX,NOX,1,623.0,75.34670947030497,73.79093077225271,5.0,25.0,56.0,100.0,628.0
2010-02-28,TAX,O3,1,629.0,19.00158982511924,20.43231011979526,0.0,2.0,12.0,31.0,109.0
2010-02-28,TAX,PM10,2,582.0,35.27491408934708,23.36192872705566,1.0,17.0,30.0,50.0,108.0
2010-02-28,TAX,SO2,1,629.0,2.163751987281399,5.452185552734712,0.0,0.0,0.0,1.0,40.0
2010-02-28,TLA,CO,15,630.0,1.0552380952380958,0.6517894096075001,0.1,0.6,0.9,1.3,4.0
2010-02-28,TLA,NO,1,624.0,39.15224358974359,47.3765445901421,0.0,10.0,21.0,50.0,313.0
2010-02-28,TLA,NO2,1,624.0,34.118589743589745,16.657884359384212,4.0,23.0,33.0,41.0,128.0
2010-02-28,TLA,NOX,1,624.0,73.24038461538461,56.16854283623722,4.0,36.0,58.0,92.0,365.0
2010-02-28,TLA,O3,1,569.0,20.868189806678384,22.53350846929392,1.0,3.0,12.0,31.0,130.0
2010-02-28,TLA,PM10,2,603.0,39.69651741293532,29.56336352539232,1.0,18.0,31.0,56.0,169.0
